#Cu 100 Test 3_34.dat																														
#5/5/2022 3:56:08 PM																														
#Preliminary IPES Scan																														
#Sweep En																														
"#Measure rgm, lgm, 6487"																														
#Timestamp (sec)	X (mm)	Y (mm)	Z (mm)	Theta (deg)	EG Grid (V)	EG Energy (eV)	EG Extraction (V)	EG Focus 1 (V)	EG Focus 2 (V)	EG Filament (V)	EG X1 Alignment (V)	EG X2 Alignment (V)	EG Y1 Alignment (V)	EG Y2 Alignment (V)	6485 Samples	6487 Samples	6487 Voltage (V)	GM2 Dwell Time (s)	GM2 SCA Lower Limit (V)	GM2 SCA Upper Limit (V)	GM1 Dwell Time (s)	GM1 SCA Lower Limit (V)	GM1 SCA Upper Limit (V)	Voltage Supply A (V)	Voltage Supply B (V)	Dummy	GM2 Counts	GM1 Counts	Keithley6485 Current (A)	Keithley6487 Current (A)
#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3734625383	-0.0005	0.0005	198.99	0	-15	0	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	18	24	7.89E-14	-4.22E-08
3734625396	-0.0005	0.0005	198.99	0	-15	0.1	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	10	22	7.89E-14	-4.55E-08
3734625409	-0.0005	0.0005	198.99	0	-15	0.2	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	19	21	7.89E-14	-3.57E-08
3734625422	-0.0005	0.0005	198.99	0	-15	0.3	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	19	12	7.89E-14	-4.61E-08
3734625435	-0.0005	0.0005	198.99	0	-15	0.4	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	14	24	7.89E-14	-3.59E-08
3734625448	-0.0005	0.0005	198.99	0	-15	0.5	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	12	25	7.89E-14	-4.82E-08
3734625461	-0.0005	0.0005	198.99	0	-15	0.6	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	17	20	7.89E-14	-4.22E-08
3734625474	-0.0005	0.0005	198.99	0	-15	0.7	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	15	11	7.89E-14	-4.71E-08
3734625487	-0.0005	0.0005	198.99	0	-15	0.8	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	11	14	7.89E-14	-4.10E-08
3734625500	-0.0005	0.0005	198.99	0	-15	0.9	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	13	11	7.89E-14	-4.63E-08
3734625512	-0.0005	0.0005	198.99	0	-15	1	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	12	19	7.89E-14	-5.08E-08
3734625525	-0.0005	0.0005	198.99	0	-15	1.1	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	7	25	7.89E-14	-4.76E-08
3734625538	-0.0005	0.0005	198.99	0	-15	1.2	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	16	26	7.89E-14	-4.82E-08
3734625551	-0.0005	0.0005	198.99	0	-15	1.3	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	16	14	7.89E-14	-4.45E-08
3734625564	-0.0005	0.0005	198.99	0	-15	1.4	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	16	25	7.89E-14	-4.49E-08
3734625577	-0.0005	0.0005	198.99	0	-15	1.5	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	8	18	7.89E-14	-5.33E-08
3734625590	-0.0005	0.0005	198.99	0	-15	1.6	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	10	18	7.89E-14	-4.86E-08
3734625603	-0.0005	0.0005	198.99	0	-15	1.7	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	8	17	7.89E-14	-4.27E-08
3734625617	-0.0005	0.0005	198.99	0	-15	1.8	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	11	17	7.89E-14	-4.10E-08
3734625630	-0.0005	0.0005	198.99	0	-15	1.9	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	6	17	7.89E-14	-4.92E-08
3734625643	-0.0005	0.0005	198.99	0	-15	2	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	9	12	7.89E-14	-3.88E-08
3734625656	-0.0005	0.0005	198.99	0	-15	2.1	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	20	19	7.89E-14	-4.04E-08
3734625669	-0.0005	0.0005	198.99	0	-15	2.2	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	11	17	7.89E-14	-4.71E-08
3734625682	-0.0005	0.0005	198.99	0	-15	2.3	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	16	14	7.89E-14	-4.57E-08
3734625694	-0.0005	0.0005	198.99	0	-15	2.4	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	10	11	7.89E-14	-4.08E-08
3734625707	-0.0005	0.0005	198.99	0	-15	2.5	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	17	20	7.89E-14	-4.69E-08
