Starting Time: 4/23/2012 11:10 AM	 	 	 	 	 	 
Seconds	Thermocouple 1	Thermocouple 2	Thermocouple 3	Thermocouple 4	MainPres	PrepPres
14.167810	NaN	NaN	NaN	NaN	1.546119E-10	4.446381E-10
14.240815	NaN	NaN	NaN	NaN	1.546119E-10	4.446381E-10
14.338820	NaN	NaN	NaN	NaN	1.599039E-10	4.446381E-10
14.415824	NaN	NaN	NaN	NaN	1.599039E-10	4.446381E-10
14.480828	NaN	NaN	NaN	NaN	1.599039E-10	4.446381E-10
14.609836	NaN	NaN	NaN	NaN	1.599039E-10	4.446381E-10
14.675839	NaN	NaN	NaN	NaN	1.599039E-10	4.446381E-10
14.752844	NaN	NaN	NaN	NaN	1.599039E-10	4.446381E-10
14.836849	NaN	NaN	NaN	NaN	1.513230E-10	4.438764E-10
14.940855	NaN	NaN	NaN	NaN	1.513230E-10	4.438764E-10
15.085863	NaN	NaN	NaN	NaN	1.513230E-10	4.438764E-10
15.158867	NaN	NaN	NaN	NaN	1.513230E-10	4.438764E-10
15.241872	NaN	NaN	NaN	NaN	1.513230E-10	4.438764E-10
15.346878	NaN	NaN	NaN	NaN	1.555069E-10	4.434743E-10
15.450884	NaN	NaN	NaN	NaN	1.555069E-10	4.434743E-10
15.585892	NaN	NaN	NaN	NaN	1.555069E-10	4.434743E-10
15.651896	NaN	NaN	NaN	NaN	1.555069E-10	4.434743E-10
15.728900	NaN	NaN	NaN	NaN	1.555069E-10	4.434743E-10
15.840906	NaN	NaN	NaN	NaN	1.568281E-10	4.428818E-10
15.917911	NaN	NaN	NaN	NaN	1.568281E-10	4.428818E-10
15.982914	NaN	NaN	NaN	NaN	1.568281E-10	4.428818E-10
16.117922	NaN	NaN	NaN	NaN	1.568281E-10	4.428818E-10
16.193926	NaN	NaN	NaN	NaN	1.568281E-10	4.428818E-10
16.281931	NaN	NaN	NaN	NaN	1.568281E-10	4.428818E-10
16.361936	NaN	NaN	NaN	NaN	1.568281E-10	4.571934E-10
